Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_Cases,Deaths,Total_Tests,Tests,CASES_per_Test,Death_in_Closed_Cases,Rank_by_Testing_rate,Rank_by_Death_rate,Rank_by_Cases_rate,Rank_by_Death_of_Closed_Cases,TOP_DEATH,TOP_TEST
"Czechia","21045","247","38","2","15886","4753","24","1965","38","76565","76565","10711777","0.0249","64","88","91","120","79","64","Czechia"
"DRC","9757","16","3","1","8895","615","","109","3","0","","89906805","0.027","","169","190","114","110","195","DRC"
"Denmark","16056","116","107","","13769","1666","1","2771","107","358091","358091","5795057","0.0432","14","50","81","77","47","14","Denmark"
"Diamond Princess","712","","0","","651","48","4","","","0","","","0.0196","","","","142","114","195","Diamond Princess"
"Djibouti","5374","","60","","5216","99","","5429","60","64116","64116","989936","0.0112","73","72","48","166","66","73","Djibouti"
"Dominica","18","","0","","18","0","","250","","22858","22858","72011","","126","","171","","114","126","Dominica"
"Dominican Republic","89010","883","139","4","57734","29771","288","8194","139","30883","30883","10862806","0.0254","114","43","28","116","42","114","Dominican Republic"
"Ecuador","105508","1033","351","54","87660","11648","331","5968","351","16821","16821","17679078","0.0661","134","19","44","40","19","134","Ecuador"
"Egypt","97025","111","51","15","63462","28351","41","946","51","1316","1316","102590466","0.0759","189","78","124","33","71","188","Egypt"
"El Salvador","23964","247","99","7","11558","11766","391","3692","99","44418","44418","6490763","0.0525","96","55","66","57","50","96","El Salvador"
"Equatorial Guinea","4892","","59","","2713","2096","","3473","59","34935","34935","1408774","0.0297","109","74","72","105","67","109","Equatorial Guinea"
"Eritrea","306","2","0","","274","32","","86","","0","","3553053","","","","193","","114","195","Eritrea"
"Estonia","2227","20","47","","2009","155","","1679","47","104146","104146","1326661","0.0304","51","83","96","100","74","51","Estonia"
"Eswatini","4110","52","70","2","2643","1386","11","3538","70","24427","24427","1161807","0.0297","122","64","68","104","59","122","Eswatini"
"Ethiopia","35836","1778","5","20","13536","21680","216","311","5","6018","6018","115332992","0.0438","168","155","165","73","108","168","Ethiopia"
"Faeroe Islands","383","1","0","","274","109","3","7834","","1642742","1642742","48889","","2","","31","","114","2","Faeroe Islands"
"Falkland Islands","13","","0","","13","0","","3722","","645863","645863","3493","","6","","65","","114","6","Falkland Islands"
"Fiji","28","","1","","20","7","","31","1","7459","7459","897343","0.0476","160","177","206","63","112","160","Fiji"
"Finland","7842","37","60","","7100","408","","1415","60","93458","93458","5541933","0.0449","55","72","104","69","66","55","Finland"
"France","229814","4771","467","12","84065","115269","384","3520","467","91892","91892","65293815","0.2661","56","12","70","8","12","56","France"
"French Guiana","8743","32","180","","8189","500","17","29174","180","161444","161444","299682","0.0066","31","33","2","181","32","31","French Guiana"
"French Polynesia","211","","0","","68","143","2","751","","35257","35257","281134","","106","","131","","114","106","French Polynesia"
"Gabon","8319","","24","","6614","1652","1","3726","24","46771","46771","2232578","0.0079","90","104","64","173","91","90","Gabon"
"Gambia","2401","113","33","4","435","1885","","990","33","4445","4445","2425361","0.157","174","94","119","10","83","174","Gambia"
"Georgia","1370","9","4","","1108","245","","344","4","79021","79021","3988076","0.0151","61","162","159","155","109","61","Georgia"
"Germany","231284","1584","111","10","204800","17160","231","2759","111","121656","121656","83821481","0.0435","43","48","83","75","45","43","Germany"
"Ghana","43260","166","8","5","41276","1723","5","1388","8","13841","13841","31158344","0.0063","141","141","106","184","105","141","Ghana"
"Gibraltar","229","6","0","","200","29","","6797","","841971","841971","33690","","5","","35","","114","5","Gibraltar"
"Greece","7934","250","23","","3804","3895","30","762","23","78386","78386","10415735","0.0582","62","107","130","47","92","62","Greece"
"Greenland","14","","0","","14","0","","247","","113518","113518","56784","","45","","172","","114","45","Greenland"
"Grenada","24","","0","","24","0","","213","","55526","55526","112596","","84","","178","","114","84","Grenada"
"Guadeloupe","510","","37","","289","206","2","1275","37","58943","58943","400134","0.0493","81","89","111","60","80","81","Guadeloupe"
"Guatemala","65983","1102","140","39","54351","9126","5","3674","140","11871","11871","17959594","0.0441","146","42","67","72","41","146","Guatemala"
"Guinea","8876","84","4","","7628","1195","24","674","4","1288","1288","13178580","0.0069","190","162","137","180","109","189","Guinea"
"Guinea-Bissau","2149","32","17","","1015","1101","5","1089","17","760","760","1974061","0.0315","192","118","116","97","96","191","Guinea-Bissau"
"Guyana","846","70","37","2","399","418","8","1075","37","8261","8261","787081","0.0678","158","89","117","37","80","158","Guyana"
"Haiti","7997","48","17","","5447","2354","","700","17","1874","1874","11421419","0.0347","184","118","135","88","96","184","Haiti"
"Honduras","52298","628","162","15","7867","42823","43","5269","162","12890","12890","9925734","0.1697","142","36","50","9","35","142","Honduras"
"Hong Kong","4605","18","10","1","3827","705","31","614","10","103981","103981","7505365","0.0187","52","134","140","143","103","52","Hong Kong"
"Hungary","5046","44","63","","3678","759","7","523","63","40394","40394","9656850","0.1421","102","70","148","13","64","102","Hungary"
"Iceland","2040","5","29","","1913","117","1","5973","29","561236","561236","341550","0.0052","10","99","43","186","87","10","Iceland"
"India","2904329","68507","40","981","2157941","691413","8944","2102","40","23636","23636","1381863561","0.0248","123","87","90","121","78","123","India"
"Indonesia","147211","2266","23","72","100674","40119","","537","23","7192","7192","273918933","0.0599","163","107","147","44","92","163","Indonesia"
"Iran","352558","2279","241","139","304236","28058","3869","4190","241","34940","34940","84138745","0.0624","108","25","56","41","24","108","Iran"
"Iraq","192797","3995","154","87","137200","49389","614","4779","154","33929","33929","40340634","0.0433","110","38","52","76","37","110","Iraq"
"Ireland","27676","129","359","1","23364","2536","6","5596","359","148747","148747","4945309","0.0706","34","18","46","36","18","34","Ireland"
"Isle of Man","336","","282","","312","0","","3948","282","110734","110734","85096","0.0714","47","21","60","35","21","47","Isle of Man"
"Israel","99599","1630","86","14","74579","24225","389","10829","86","237029","237029","9197590","0.0105","16","57","19","169","52","16","Israel"
"Italy","256118","840","586","6","204686","16014","68","4237","586","128878","128878","60449180","0.1475","40","7","55","12","7","40","Italy"
"Ivory Coast","17249","17","4","1","14611","2526","","652","4","4426","4426","26463011","0.0076","175","162","138","175","109","175","Ivory Coast"
"Jamaica","1192","46","5","","772","406","1","402","5","16610","16610","2962971","0.0178","135","155","156","144","108","135","Jamaica"
"Japan","58501","951","9","16","45266","12091","237","463","9","9962","9962","126421114","0.0246","152","137","154","125","104","152","Japan"
"Jordan","1498","16","1","","1261","226","3","147","1","70566","70566","10217009","0.0086","67","177","184","172","112","67","Jordan"
"Kazakhstan","103815","244","75","","86450","15950","221","5520","75","121832","121832","18807256","0.0161","42","62","47","152","57","42","Kazakhstan"
"Kenya","31441","426","10","10","17869","13056","44","583","10","7391","7391","53926571","0.0281","161","134","141","111","103","161","Kenya"
"Kuwait","78767","622","119","2","70642","7616","94","18407","119","134980","134980","4279075","0.0072","35","46","7","178","44","35","Kuwait"
"Kyrgyzstan","42507","182","229","0","35486","5523","24","6501","229","40944","40944","6538600","0.0405","101","28","38","83","27","101","Kyrgyzstan"
"Laos","22","","0","","19","3","","3","","4860","4860","7289790","","173","","214","","114","173","Laos"
"Latvia","1327","1","18","","1093","201","","705","18","123686","123686","1883144","0.0293","41","114","133","107","95","41","Latvia"
"Lebanon","10952","605","17","4","3040","7799","72","1606","17","65050","65050","6821056","0.0358","70","118","100","86","96","70","Lebanon"
"Lesotho","996","50","14","","423","543","","464","14","5611","5611","2144591","0.0662","169","128","153","39","99","169","Lesotho"
"Liberia","1284","2","16","","803","399","","253","16","0","","5073177","0.0927","","122","170","26","97","195","Liberia"
